eps (accuracy)
  1.000000e-06
hn (ini.step size)
  1.000000e-07
       A             xsi             g       
  4.000000e-03   1.000000e+00   9.810000e+00
       hc      
  4.222125e-01
      h[m]           x[m]         lambda_1[m/s]  lambda_2[m/s]  lambda_3[m/s]         U[m/s]          B[m]     
  9.340000e-01  -2.817626e+00      3.238040e+00  -2.817626e+00   1.215643e-04      2.102670e-01  -1.286366e-05  
  9.330000e-01  -2.812793e+00      3.239686e+00  -2.812793e+00   1.273509e-04      2.135098e-01  -1.348454e-05  
  9.320000e-01  -2.807957e+00      3.241334e+00  -2.807957e+00   1.333293e-04      2.167543e-01  -1.412601e-05  
  9.310000e-01  -2.803120e+00      3.242983e+00  -2.803120e+00   1.395031e-04      2.200005e-01  -1.478848e-05  
  9.300000e-01  -2.798280e+00      3.244633e+00  -2.798280e+00   1.458761e-04      2.232486e-01  -1.547234e-05  
  9.290000e-01  -2.793439e+00      3.246285e+00  -2.793439e+00   1.524519e-04      2.264985e-01  -1.617800e-05  
  9.280000e-01  -2.788595e+00      3.247937e+00  -2.788595e+00   1.592345e-04      2.297501e-01  -1.690585e-05  
  9.270000e-01  -2.783749e+00      3.249591e+00  -2.783749e+00   1.662275e-04      2.330035e-01  -1.765631e-05  
  9.260000e-01  -2.778902e+00      3.251247e+00  -2.778902e+00   1.734348e-04      2.362587e-01  -1.842979e-05  
  9.250000e-01  -2.774052e+00      3.252904e+00  -2.774052e+00   1.808603e-04      2.395157e-01  -1.922671e-05  
  9.240000e-01  -2.769200e+00      3.254562e+00  -2.769200e+00   1.885080e-04      2.427746e-01  -2.004749e-05  
  9.230000e-01  -2.764346e+00      3.256221e+00  -2.764346e+00   1.963816e-04      2.460352e-01  -2.089254e-05  
  9.220000e-01  -2.759490e+00      3.257881e+00  -2.759490e+00   2.044853e-04      2.492976e-01  -2.176230e-05  
  9.210000e-01  -2.754631e+00      3.259543e+00  -2.754631e+00   2.128229e-04      2.525618e-01  -2.265718e-05  
  9.200000e-01  -2.749771e+00      3.261206e+00  -2.749771e+00   2.213986e-04      2.558279e-01  -2.357764e-05  
  9.190000e-01  -2.744908e+00      3.262871e+00  -2.744908e+00   2.302164e-04      2.590957e-01  -2.452409e-05  
  9.180000e-01  -2.740044e+00      3.264537e+00  -2.740044e+00   2.392804e-04      2.623654e-01  -2.549698e-05  
  9.170000e-01  -2.735177e+00      3.266204e+00  -2.735177e+00   2.485947e-04      2.656369e-01  -2.649676e-05  
  9.160000e-01  -2.730309e+00      3.267872e+00  -2.730309e+00   2.581635e-04      2.689103e-01  -2.752387e-05  
  9.150000e-01  -2.725438e+00      3.269542e+00  -2.725438e+00   2.679911e-04      2.721854e-01  -2.857876e-05  
  9.140000e-01  -2.720565e+00      3.271213e+00  -2.720565e+00   2.780816e-04      2.754625e-01  -2.966188e-05  
  9.130000e-01  -2.715690e+00      3.272885e+00  -2.715690e+00   2.884394e-04      2.787413e-01  -3.077369e-05  
  9.120000e-01  -2.710813e+00      3.274559e+00  -2.710813e+00   2.990687e-04      2.820220e-01  -3.191466e-05  
  9.110000e-01  -2.705934e+00      3.276234e+00  -2.705934e+00   3.099739e-04      2.853045e-01  -3.308525e-05  
  9.100000e-01  -2.701052e+00      3.277910e+00  -2.701052e+00   3.211595e-04      2.885889e-01  -3.428593e-05  
  9.090000e-01  -2.696169e+00      3.279588e+00  -2.696169e+00   3.326298e-04      2.918752e-01  -3.551716e-05  
  9.080000e-01  -2.691283e+00      3.281267e+00  -2.691283e+00   3.443892e-04      2.951633e-01  -3.677944e-05  
  9.070000e-01  -2.686396e+00      3.282947e+00  -2.686396e+00   3.564424e-04      2.984533e-01  -3.807323e-05  
  9.060000e-01  -2.681506e+00      3.284629e+00  -2.681506e+00   3.687938e-04      3.017451e-01  -3.939903e-05  
  9.050000e-01  -2.676614e+00      3.286312e+00  -2.676614e+00   3.814480e-04      3.050388e-01  -4.075732e-05  
  9.040000e-01  -2.671720e+00      3.287996e+00  -2.671720e+00   3.944096e-04      3.083344e-01  -4.214859e-05  
  9.030000e-01  -2.666824e+00      3.289681e+00  -2.666824e+00   4.076834e-04      3.116318e-01  -4.357334e-05  
  9.020000e-01  -2.661926e+00      3.291368e+00  -2.661926e+00   4.212739e-04      3.149312e-01  -4.503208e-05  
  9.010000e-01  -2.657026e+00      3.293057e+00  -2.657026e+00   4.351860e-04      3.182324e-01  -4.652530e-05  
  9.000000e-01  -2.652124e+00      3.294746e+00  -2.652124e+00   4.494244e-04      3.215355e-01  -4.805351e-05  
  8.990000e-01  -2.647219e+00      3.296437e+00  -2.647219e+00   4.639940e-04      3.248406e-01  -4.961724e-05  
  8.980000e-01  -2.642313e+00      3.298130e+00  -2.642313e+00   4.788996e-04      3.281475e-01  -5.121699e-05  
  8.970000e-01  -2.637404e+00      3.299824e+00  -2.637404e+00   4.941462e-04      3.314563e-01  -5.285329e-05  
  8.960000e-01  -2.632493e+00      3.301519e+00  -2.632493e+00   5.097386e-04      3.347670e-01  -5.452667e-05  
  8.950000e-01  -2.627580e+00      3.303215e+00  -2.627580e+00   5.256819e-04      3.380796e-01  -5.623765e-05  
  8.940000e-01  -2.622665e+00      3.304913e+00  -2.622665e+00   5.419812e-04      3.413942e-01  -5.798677e-05  
  8.930000e-01  -2.617748e+00      3.306612e+00  -2.617748e+00   5.586415e-04      3.447106e-01  -5.977457e-05  
  8.920000e-01  -2.612829e+00      3.308313e+00  -2.612829e+00   5.756679e-04      3.480290e-01  -6.160159e-05  
  8.910000e-01  -2.607908e+00      3.310014e+00  -2.607908e+00   5.930657e-04      3.513493e-01  -6.346839e-05  
  8.900000e-01  -2.602984e+00      3.311718e+00  -2.602984e+00   6.108400e-04      3.546716e-01  -6.537551e-05  
  8.890000e-01  -2.598059e+00      3.313422e+00  -2.598059e+00   6.289961e-04      3.579958e-01  -6.732351e-05  
  8.880000e-01  -2.593131e+00      3.315129e+00  -2.593131e+00   6.475394e-04      3.613219e-01  -6.931296e-05  
  8.870000e-01  -2.588201e+00      3.316836e+00  -2.588201e+00   6.664752e-04      3.646499e-01  -7.134443e-05  
  8.860000e-01  -2.583270e+00      3.318545e+00  -2.583270e+00   6.858089e-04      3.679799e-01  -7.341847e-05  
  8.850000e-01  -2.578336e+00      3.320255e+00  -2.578336e+00   7.055460e-04      3.713119e-01  -7.553568e-05  
  8.840000e-01  -2.573400e+00      3.321967e+00  -2.573400e+00   7.256920e-04      3.746458e-01  -7.769664e-05  
  8.830000e-01  -2.568461e+00      3.323680e+00  -2.568461e+00   7.462525e-04      3.779817e-01  -7.990192e-05  
  8.820000e-01  -2.563521e+00      3.325394e+00  -2.563521e+00   7.672330e-04      3.813195e-01  -8.215212e-05  
  8.810000e-01  -2.558579e+00      3.327110e+00  -2.558579e+00   7.886393e-04      3.846593e-01  -8.444784e-05  
  8.800000e-01  -2.553634e+00      3.328827e+00  -2.553634e+00   8.104770e-04      3.880011e-01  -8.678969e-05  
  8.790000e-01  -2.548687e+00      3.330546e+00  -2.548687e+00   8.327520e-04      3.913449e-01  -8.917825e-05  
  8.780000e-01  -2.543739e+00      3.332266e+00  -2.543739e+00   8.554700e-04      3.946906e-01  -9.161416e-05  
  8.770000e-01  -2.538788e+00      3.333987e+00  -2.538788e+00   8.786370e-04      3.980383e-01  -9.409802e-05  
  8.760000e-01  -2.533835e+00      3.335710e+00  -2.533835e+00   9.022587e-04      4.013880e-01  -9.663047e-05  
  8.750000e-01  -2.528880e+00      3.337434e+00  -2.528880e+00   9.263414e-04      4.047397e-01  -9.921211e-05  
  8.740000e-01  -2.523923e+00      3.339160e+00  -2.523923e+00   9.508909e-04      4.080935e-01  -1.018436e-04  
  8.730000e-01  -2.518963e+00      3.340887e+00  -2.518963e+00   9.759133e-04      4.114492e-01  -1.045256e-04  
  8.720000e-01  -2.514002e+00      3.342615e+00  -2.514002e+00   1.001415e-03      4.148069e-01  -1.072586e-04  
  8.710000e-01  -2.509038e+00      3.344345e+00  -2.509038e+00   1.027402e-03      4.181666e-01  -1.100435e-04  
  8.700000e-01  -2.504073e+00      3.346077e+00  -2.504073e+00   1.053880e-03      4.215284e-01  -1.128808e-04  
  8.690000e-01  -2.499105e+00      3.347809e+00  -2.499105e+00   1.080857e-03      4.248921e-01  -1.157712e-04  
  8.680000e-01  -2.494135e+00      3.349544e+00  -2.494135e+00   1.108338e-03      4.282579e-01  -1.187153e-04  
  8.670000e-01  -2.489163e+00      3.351279e+00  -2.489163e+00   1.136329e-03      4.316258e-01  -1.217138e-04  
  8.660000e-01  -2.484189e+00      3.353016e+00  -2.484189e+00   1.164838e-03      4.349956e-01  -1.247675e-04  
  8.650000e-01  -2.479213e+00      3.354755e+00  -2.479213e+00   1.193870e-03      4.383675e-01  -1.278769e-04  
